Race,Sex,Age,Weight,Height,Alignment,Stats,Tier lvl.,Tier,Death
Dwarf: ,Female,67,126,48,Lawful Good,"[ 07, 05, 12, 11, 09, 09 ]",8.83,Commoner,302
Dwarf: ,Male,78,161,53,Chaotic Good,"[ 15, 17, 12, 08, 13, 15 ]",13.33,Adventurer,312
Dwarf: ,Male,68,159,50,Chaotic Neutral,"[ 09, 09, 11, 14, 05, 11 ]",9.83,Commoner,367
Dwarf: ,Female,62,110,44,Lawful Neutral,"[ 09, 08, 15, 09, 10, 08 ]",9.83,Commoner,342
Dwarf: ,Male,57,158,47,Lawful Good,"[ 10, 08, 09, 07, 10, 12 ]",9.33,Commoner,359
Dwarf: ,Male,68,152,48,Lawful Good,"[ 08, 10, 15, 13, 11, 10 ]",11.17,Commoner,418
Dwarf: ,Male,75,147,45,Chaotic Neutral,"[ 07, 09, 09, 06, 11, 09 ]",8.5,Commoner,361
Half-Elf: ,Male,16,139,72,Lawful Good,"[ 14, 18, 12, 12, 16, 05 ]",12.83,Adventurer,165
Dwarf: ,Female,78,126,44,Chaotic Good,"[ 09, 14, 10, 12, 08, 07 ]",10.0,Commoner,361
Dwarf: ,Female,67,130,46,Neutral Evil,"[ 12, 09, 09, 08, 08, 11 ]",9.5,Commoner,375
Dwarf: ,Male,69,154,44,True Neutral,"[ 04, 13, 13, 18, 16, 09 ]",12.17,Elite,382
Dwarf: ,Male,61,159,53,Neutral Good,"[ 10, 08, 10, 07, 07, 12 ]",9.0,Commoner,382
Dwarf: ,Male,66,139,50,Lawful Neutral,"[ 09, 12, 05, 11, 04, 11 ]",8.67,Commoner,341
Dwarf: ,Female,68,123,49,Chaotic Evil,"[ 08, 11, 09, 12, 08, 11 ]",9.83,Commoner,340
Dwarf: ,Male,67,145,49,Lawful Good,"[ 11, 09, 13, 11, 09, 08 ]",10.17,Commoner,396
Dwarf: ,Male,63,151,51,Chaotic Evil,"[ 10, 08, 12, 14, 11, 09 ]",10.67,Commoner,280
Dwarf: ,Female,66,121,45,Lawful Good,"[ 11, 05, 05, 09, 08, 09 ]",7.83,Commoner,324
Dwarf: ,Female,61,128,50,True Neutral,"[ 12, 10, 08, 10, 13, 09 ]",10.33,Commoner,384
Dwarf: ,Female,68,122,48,Chaotic Evil,"[ 07, 07, 14, 12, 09, 08 ]",9.5,Commoner,360
Human: ,Female,16,141,73,Chaotic Evil,"[ 13, 16, 16, 10, 16, 09 ]",13.33,Adventurer,108
Dwarf: ,Female,75,125,50,Lawful Evil,"[ 13, 10, 12, 08, 12, 11 ]",11.0,Commoner,310
Dwarf: ,Female,72,127,42,Chaotic Neutral,"[ 07, 09, 05, 07, 06, 08 ]",7.0,Commoner,382
Dwarf: ,Female,69,134,48,Neutral Good,"[ 09, 03, 14, 07, 10, 13 ]",9.33,Commoner,290
Dwarf: ,Female,76,130,47,Neutral Good,"[ 08, 11, 13, 06, 08, 09 ]",9.17,Commoner,372
Dwarf: ,Male,69,145,45,Neutral Evil,"[ 10, 07, 05, 12, 09, 03 ]",7.67,Commoner,415
Dwarf: ,Female,70,123,44,Lawful Neutral,"[ 13, 09, 08, 14, 09, 09 ]",10.33,Commoner,330
Dwarf: ,Female,62,122,42,Neutral Evil,"[ 11, 12, 06, 06, 05, 06 ]",7.67,Commoner,426
Dwarf: ,Male,73,147,52,Chaotic Neutral,"[ 07, 06, 08, 11, 08, 08 ]",8.0,Commoner,298
Dwarf: ,Female,64,121,43,Lawful Neutral,"[ 10, 07, 11, 14, 11, 11 ]",10.67,Commoner,317
Dwarf: ,Female,64,120,45,Chaotic Good,"[ 13, 13, 08, 06, 12, 12 ]",10.67,Commoner,310
Dwarf: ,Female,62,133,48,Chaotic Neutral,"[ 11, 09, 09, 09, 09, 14 ]",10.17,Commoner,350
Dwarf: ,Female,57,131,42,Neutral Evil,"[ 08, 08, 10, 09, 11, 11 ]",9.5,Commoner,350
Dwarf: ,Female,53,130,51,Neutral Evil,"[ 08, 09, 11, 12, 08, 09 ]",9.5,Commoner,363
Dwarf: ,Female,77,121,44,Chaotic Neutral,"[ 07, 09, 08, 06, 08, 09 ]",7.83,Commoner,317
Dwarf: ,Female,69,124,42,Lawful Evil,"[ 08, 07, 07, 14, 13, 09 ]",9.67,Commoner,396
Dwarf: ,Female,62,127,44,Chaotic Evil,"[ 12, 13, 12, 10, 10, 10 ]",11.17,Commoner,412
Dwarf: ,Male,57,144,48,Lawful Evil,"[ 09, 08, 14, 04, 13, 10 ]",9.67,Commoner,435
Dwarf: ,Male,74,154,52,True Neutral,"[ 18, 18, 08, 08, 08, 08 ]",11.33,Elite,336
Dwarf: ,Female,65,132,48,True Neutral,"[ 14, 05, 07, 16, 10, 10 ]",10.33,Commoner,376
Dwarf: ,Female,74,129,51,True Neutral,"[ 05, 10, 11, 13, 11, 11 ]",10.17,Commoner,380
Dwarf: ,Male,64,150,45,Lawful Neutral,"[ 11, 10, 12, 09, 13, 13 ]",11.33,Elite,325
Dwarf: ,Female,62,125,48,Lawful Evil,"[ 09, 05, 13, 07, 08, 13 ]",9.17,Commoner,332
